Ticker,EPS_2021,EPS_2022
CEE,13.91,-28.33
CEPU,-29.9,857.9
CF,4.24,16.38
CFG,5.16,4.1
CFG^E,,
CFG^H,,
CFR,6.76,8.81
CFR^B,,
CGAU,-1.29,-0.31
CHCT,0.87,0.81
CHD,3.32,1.68
CHE,16.85,16.53
CHGG,-0.01,1.34
CHH,5.15,5.99
CHMI,0.14,0.6
CHMI^A,,
CHMI^B,,
CHN,1.08,-11.49
CHPT,,-1.49
CHT,46.0,47.0
CHWY,,-0.18
CI,15.75,21.299091
CIA,0.73,0.51
CIB,16995.96705,28210.852887
CICB,,
CIEN,3.19,1.0
CIF,0.08,-0.29
CIG,1.307692,1.86
CII,4.08,-2.45
CIM,7.32,-7.53
CIM^A,,
CIM^B,,
CIM^C,,
CIM^D,,
CIMN,,
CIMO,,
CINT,0.181224,0.175877
CIO,10.8,0.22
CIO^A,,
CION,2.09,0.89
CIVI,4.74,14.58
CL,2.55,2.13
CLB,0.42,0.41716
CLBR,,
CLCO,0.794257,
CLDT,-0.46,0.04
CLDT^A,,
CLF,5.36,2.55
CLH,3.71,7.56
CLPR,-0.51,-0.36
CLS,0.82,1.18
CLVT,-0.61,-6.24
CLW,-1.67,2.68
CLX,5.58,3.73
CM,6.96,6.68
CMA,8.35,8.47
CMBT,-1.68,1.01
CMC,3.38,9.95
CMCM,-12.345,-18.095
CMDB,,3.736818
CMG,0.458,0.6408
CMI,14.61,15.12
CMP,-6.31,-0.73
CMRE,3.28,4.26
CMRE^B,,
CMRE^C,,
CMRE^D,,
CMS,4.66,2.838998
CMS^B,,
CMS^C,,
CMSA,,
CMSC,,
CMSD,,
CMTG,1.27,0.79
CMU,0.36,-0.97
CNA,4.41,3.28
CNC,2.28,2.07
CNF,18.0,1.8
CNH,1.27,1.49
CNI,6.9,7.44
CNK,-3.55,-2.26
CNM,,0.55
CNMD,1.94,-2.68
CNNE,-3.19,-5.25
CNO,3.36,3.37
CNO^A,,
CNP,2.28,1.59
CNQ,3.23,4.76
CNR,0.96,13.07
CNS,4.31,3.47
CNX,-2.31,-0.75
CODI,0.73,-0.1
CODI^A,,
CODI^B,,
CODI^C,,
COF,26.94,17.91
COF^I,,
COF^J,,
COF^K,,
COF^L,,
COF^N,,
COHR,2.37,1.45
COLD,-0.12,-0.07
COMP,-1.51,-1.4
CON,1.649966,1.317027
COOK,-0.79,-3.19
COP,6.07,14.57
COPL,,
COR,7.39,8.04
COSO,1.48,2.05
COTY,-0.4,0.08
COUR,-1.28,-1.21
CP,4.18,3.77
CPA,0.94,8.58
CPAC,1.788922,2.05
CPAY,9.99,12.42
CPF,2.83,2.68
CPK,4.73,5.04
CPNG,-1.08,-0.05
CPRI,,5.39
CPS,-18.94,-12.53
CPT,2.96,6.04
CQP,3.0,3.27
CR,7.36,7.18
CRBD,,
CRBG,12.779845,12.602719
CRC,7.37,6.75
CRCL,-2569.967838,-3888.014038
CRD/A,,
CRD/B,,
CRGY,-0.46,2.2
CRH,3.26,5.03
CRI,7.81,6.34
CRK,-1.12,4.11
CRL,7.6,9.48
CRM,,1.48
CRS,-4.76,-1.01
CRT,1.112217,1.957206
CSAN,13.3056,2.48
