Ticker,EPS_2021,EPS_2022
BFRG,-0.103681,-0.494102
BFRGW,,
BFRI,-85.6,-0.479419
BFRIW,,
BFST,2.53,2.32
BGC,0.32,0.13
BGFV,4.55,1.18
BGL,,
BGLC,0.48,-0.46
BGLWW,,
BGM,0.45,0.15
BHAT,-1131.0,-123110.0
BHF,-2.529855,51.3
BHFAL,,
BHFAM,,
BHFAN,,
BHFAO,,
BHFAP,,
BHRB,4.520625,5.89
BHST,-0.7,-0.7
BIAF,-2.319421,-1.81
BIAFW,,
BIDU,28.08,19.84
BIGC,-1.08,-1.91
BIIB,10.4,20.87
BILI,-17.87,-18.99
BIOA,,-23.76
BIOX,-0.1752,-0.1702
BIRD,-13.0,-13.6
BITF,0.13,-1.15
BIVI,-148.2,-10.6
BIYA,0.018431,-0.101128
BJDX,-3280.0,-3680.0
BJRI,-0.16,0.17
BKHA,,
BKHAR,,
BKNG,28.17,76.35
BKR,-0.27,-0.61
BKYI,-11.7,-22.68
BL,-1.97,-0.49
BLBD,-0.01,-1.48
BLBX,-1.08,-1.52
BLDE,-0.571385,-0.380404
BLDEW,,
BLDP,-0.39,-0.58
BLFS,-0.22,-3.29
BLFY,-2.99,0.09
BLIN,-1.47,0.2
BLIV,-1.706051,0.146684
BLKB,0.12,-0.88
BLMN,2.0,1.03
BLMZ,-0.265058,0.05
BLNE,-70.0,-214.0
BLNK,-1.32,-1.95
BLRX,-24.0,-18.0
BLTE,-0.401157,-0.63
BLUWU,,
BLZE,-1.07,-1.63
BMBL,1.48,-0.62
BMEA,-1.74,-2.8
BMGL,,0.105491
BMHL,,
BMR,-0.36917,-0.48
BMRA,-4.96,-2.88
BMRC,2.3,2.92
BMRN,-0.35,0.75
BNAI,-0.043942,-0.036224
BNAIW,,
BNGO,-150.071477,-274.799999
BNR,-76.5,-93.5
BNRG,-9.23,-7.6
BNTC,-54.91,-37.91
BNTX,39.63,37.77
BNZI,-3.894484,-6.035271
BNZIW,,
BOF,-0.166592,-1.5468
BOKF,8.95,7.68
BOLD,-1.802001,-3.280986
BOLT,-2.97,-2.36
BON,6.8,7.43
BOOM,-0.26,0.72
BOSC,0.08,0.23
BOTJ,1.6,1.91
BOWN,,
BOWNR,,
BOXL,-9.2,-2.8
BPMC,-11.01,-9.35
BPOP,11.46,14.63
BPOPM,,
BPRN,3.3,4.11
BPYPM,,
BPYPN,,
BPYPO,,
BPYPP,,
BRAG,-0.39,-0.16
BREA,-0.007633,-0.110032
BRFH,-0.1,-0.47
BRID,-0.61,4.96
BRKL,1.48,1.42
BRKR,1.81,1.99
BRLS,-0.485043,-0.014499
BRLSW,,
BRLT,0.158926,0.15
BRNS,-1.96,0.14
BRTX,-37.3,-3.65
BRY,-0.19,3.03
BRZE,,-2.2
BSAAU,,
BSBK,0.52,0.51
BSET,1.83,6.96
BSGM,-9.5,-6.33
BSLK,-24.322636,-32.659912
BSLKW,,
BSRR,2.8,2.25
BSVN,2.55,3.22
BSY,0.3,0.55
BTAI,-64.8,-94.72
BTBD,0.14,-0.09
BTBDW,,
BTBT,-0.02,-1.34
BTCS,-3.09,-1.25
BTCT,-5.107654,15.1
BTDR,0.742601,-0.542428
BTM,0.480839,0.0
BTMD,4.306553,-0.12
BTMWW,,
BTOC,0.009601,0.047622
BTOG,-42.55,-1.07
BTSG,0.290898,-0.314895
BTSGU,,
BULL,,-0.0029
BULLW,,
BUSE,2.2,2.29
BUSEP,,
BVFL,1.32,1.32
BVS,-0.15,-2.59
BWAY,-0.42,-0.8
BWB,1.54,1.72
BWBBP,,
BWEN,0.15,-0.48
BWFG,3.36,4.79
BWIN,-0.64,-0.74
BWMN,0.03,0.37
BYFC,-0.56,0.64
BYND,-2.88,-5.75
BYRN,-0.22,-0.35
BYSI,-1.64,-0.85
BZ,-4.66,0.24
BZAI,,-1.047899
BZAIW,,
BZFD,-0.12,-5.8
BZFDW,,
BZUN,-3.06,-10.68
CAAS,0.36,0.69
CABA,-1.8,-1.81
CAC,4.6,4.17
CACC,59.52,39.32
CADL,-1.91,-0.65
CAEP,,-0.000247
CAI,,-1.569252
CAKE,1.01,0.86
CALC,-23.66,-111.16
CALM,0.04,2.72
CAMP,,-3.644776
CAMT,1.34,1.66
CAN,1.84026,0.4065
CAPN,,
CAPNR,,
CAPNU,,
CAPR,-0.87,-1.18
CAPS,7.101681,-0.063448
CAPT,-2.086022,-0.204462
CAPTW,,
CAR,19.44,57.16
CARE,1.195191,2.03
CARG,-0.001315,0.62
CARM,-1.01315,-1.520967
CART,-0.264053,0.278522
CARV,,-0.24
CASH,4.38,5.26
CASI,-2.69,-3.01
CASK,-0.871836,-2.508373
CASS,2.0,2.53
CASY,,9.1
CATY,3.8,4.83
CBAT,0.7,-0.11
CBFV,2.15,2.18
CBIO,,
CBLL,,-1.593364
CBNK,2.84,2.91
CBRL,10.71,5.67
CBSH,3.72314,3.492063
CBUS,-39.0,-18.5
CCAP,2.94,0.5
CCB,2.16,3.01
CCBG,1.98,1.97
CCCC,-1.82,-2.62
CCCM,,
CCCMU,,
CCCMW,,
CCCS,-0.46,0.06
CCCX,,
CCCXU,,
CCCXW,,
CCD,8.99,-9.24
CCEC,5.14,6.19
CCEP,2.15,3.29
CCG,-0.566021,-3.513486
CCGWW,,
CCIIU,,
CCIR,,-0.000702
CCIRU,,
CCIRW,,
CCIX,,
CCIXU,,
CCIXW,,
CCLD,-0.77,-0.67
CCLDO,,
CCNE,3.16,2.803136
CCNEP,,
CCOI,1.03,0.11
CCRN,3.53,4.95
CCSI,5.44,3.62
CCTG,0.213602,0.201245
CDIO,-1.956274,-45.3
CDIOW,,
CDLX,-3.99,-13.92
CDNA,-0.59,-1.44
CDNS,2.5,3.09
CDRO,-10.18,-1.03
CDROW,,
CDT,-75.748788,-101.226231
CDTG,0.604977,0.540376
CDTTW,,
CDTX,-16.2,-8.6
CDW,7.04,8.13
CDXS,-0.33,-0.51
CDZI,-0.84,-0.6
CDZIP,,
CECO,0.04,0.5
CEG,-0.628834,-0.489297
CELC,-2.21,-2.64
CELH,0.02,-0.88
CELU,-14.9,0.95
CELUW,,
CELZ,140.25,-9.28
CENN,-0.628571,-4.18
CENT,2.2,2.24
CENTA,2.2,2.24
CENX,-1.85,-0.15
CEP,-0.000773,-0.000645
CEPO,,-0.000247
CEPT,,-0.000247
CERO,-1818.583405,-2023.800855
CEROW,,
CERS,-0.32,-0.24
CERT,-0.09,0.09
CETX,-27687.925532,-36270.077994
CETY,0.528526,0.005325
CEVA,0.02,-1.0
CFBK,2.77,2.78
CFFI,7.95,8.29
CFFN,0.56,0.62
CFLT,-1.82,-1.62
CFSB,0.213443,0.075082
CG,8.2,3.35
CGABL,,
CGBD,2.69,1.49
CGBDL,,
CGBS,-0.068569,-0.393785
CGBSW,,
CGC,-46.9,-7.7
CGCT,,
CGEM,-1.52,2.38
CGEN,-0.41,-0.39
CGNT,,-0.22
CGNX,1.56,1.23
CGO,4.09,-5.08
CGON,-0.54549,-11.71
CGTL,0.103863,0.14195
CGTX,-3.13,-0.91
CHA,,-0.791703
CHAC,,
CHACR,,
CHACU,,
CHAR,,
CHARR,,
CHCI,1.5,0.98
CHCO,5.66,6.8
CHDN,3.175,5.71
CHEF,-0.13,0.73
CHEK,-4.2,-3.37
CHI,4.05,-4.1
CHKP,6.08,6.31
CHMG,5.64,6.13
CHNR,-5.91,-3.0
CHPG,,
CHPGR,,
CHR,5.4,3.95
CHRD,15.48,57.55
CHRS,-3.81,-3.76
CHRW,6.31,7.4
CHSCL,,
CHSCM,,
CHSCN,,
CHSCO,,
CHSCP,,
CHSN,0.056308,-0.14
CHTR,24.47,30.74
CHW,2.95,-3.22
CHX,0.54,0.75
CHY,4.31,-4.38
CHYM,,
CIFR,,-0.16
CIFRW,,
CIGI,-9.09,1.05
CIGL,,-0.035369
CIIT,-0.03,0.1
CINF,18.1,-3.06
CING,-669.6,-374.4
CINGW,,
CISO,-4.95,-3.640005
CISS,,47.366767
CIVB,2.63,2.6
CJET,-5.590776,-14.44069
CJMB,,1.453508
CLAR,0.73,-1.88
CLBK,0.88,0.81
CLBT,0.44,0.59
CLDX,-1.64,-2.4
CLFD,1.47,3.55
CLGN,0.02,-1.53
CLIK,,0.012276
CLIR,-0.25,-0.16
CLLS,-1.91,-2.33
CLMB,2.09,2.81
CLMT,-3.23,-2.04
CLNE,-0.44,-0.26
CLNN,-3.2,-9.2
CLNNW,,
CLOV,-1.248281,-0.711492
CLPS,0.39,0.21
CLPT,-0.69,-0.68
CLRB,-4.3,-4.05
CLRO,-0.39,0.83
CLSD,0.01,-0.55
CLSK,-0.75,-1.35
CLSKW,,
CLST,0.4,0.04
CLWT,0.13,0.05
CLYM,-4.24,-1.72
CMBM,1.31,0.72
CMCO,,1.04
CMCSA,3.04,1.21
CMCT,-254.864481,-272.018821
CME,7.29,7.4
CMMB,-1.2,-2.42
CMND,-88.16001,-159.596747
CMPO,5.586075,1.13
CMPOW,,
CMPR,-3.28,-2.08
CMPS,-1.79,-2.16
CMPX,-1.31,-0.37
CMTL,-2.86,-1.63
CNCK,80.806988,77.257633
CNCKW,,
CNDT,-0.18,-0.89
CNET,-1.68,-5.48
CNEY,2.55999,3.09
CNFR,-0.11,-1.0
CNFRZ,,
CNOB,3.22,3.01
CNOBP,,
CNSP,-38965.591398,-23644.170279
CNTA,,-2.31
CNTB,-3.922122,-2.101662
CNTX,-3.69,-0.93
CNTY,0.66,0.25
CNVS,,0.2
CNXC,7.7,8.28
CNXN,2.65,3.37
COCH,-1.051355,-1.568218
COCHW,,
COCO,0.35,0.14
COCP,-0.16,-4.77
CODA,0.44,0.38
CODX,1.23,-0.45
COEP,-13.159108,-52.6
COEPW,,
COFS,2.86,3.15
COGT,-1.649845,-2.39
COHU,3.45,1.98
COIN,14.5,-11.83
COKE,20.17,45.74
COLA,,
COLAR,,
COLAU,,
COLB,1.91,1.55
COLL,1.86,-0.74
COLM,5.33,4.95
COMM,-2.55,-6.49
COO,14.79,1.94
COOP,16.53,12.84
COOT,0.028101,0.079072
COOTW,,
CORT,0.89,0.87
CORZ,0.149118,-6.3
CORZW,,
CORZZ,,
COSM,-23.74,-33.16
COST,11.27,13.14
COYA,-0.740831,-4.73
CPB,3.29,2.51
CPBI,,
CPHC,2.44,1.54
CPIX,-0.24,-0.38
CPOP,2.5,0.4
CPRT,0.975,1.13
CPRX,0.37,0.75
CPSH,0.22,0.145234
CPSS,1.84,3.23
CPZ,5.64,-2.18
CRAI,5.45,5.91
CRAQ,,
CRAQR,,
CRAQU,,
CRBP,-11.1,-10.14999
CRBU,-2.11,-1.64
CRCT,0.64,0.28
CRDF,-0.73,-0.89
CRDL,-0.73,-0.49
CRDO,,-0.25
CREG,-2.18,-0.61
CRESW,,
CRESY,-808.829078,4374.8
CREV,-19.198116,-25.502031
CREVW,,
CREX,0.18,0.84
CRGO,-11.219818,-0.711263
CRGOW,,
CRGX,-0.300443,-2.10315
CRIS,-10.0,-12.2
CRMD,-0.75,-0.74
CRML,-0.006143,-0.003486
CRMLW,,
CRMT,14.95,13.67
CRNC,1.17,-7.93
CRNT,-0.18,-0.09
CRNX,-2.8,-3.15
CRON,-1.07,-0.45
CROX,11.39,8.71
CRSP,4.7,-8.36
CRSR,1.01,-0.63
CRTO,2.09,0.14
CRUS,,5.52
CRVL,0.85,1.22
CRVO,-18.57,-11.2
CRVS,-1.03,-0.89
CRWD,,-1.03
CRWS,0.6,0.98
CRWV,,-0.076921
CSAI,,-0.796762
CSBR,0.02,0.04
CSCI,1.329324,1.86
CSCO,2.5,2.82
CSGP,0.74,0.93
CSGS,2.26,1.41
CSIQ,1.46,3.44
CSPI,0.08,0.21
CSQ,6.52,-3.82
CSTE,0.51,-1.66
CSTL,-1.24,-2.58
CSWC,,1.87
CSWCZ,,
CSX,1.68,1.95
CTAS,2.56,2.9125
CTBI,4.94,4.58
CTKB,0.0,0.02
CTLP,-0.14,-0.03
CTMX,-1.3,-1.51
CTNM,-1.739279,-1.454527
CTNT,1.045059,0.729609
CTOR,,-0.076258
